date,tweet_count,mean_vader,std_vader,vader_pos_ratio,vader_neg_ratio,finbert_pos_ratio,finbert_neg_ratio,finbert_neu_ratio,mean_finbert_score,price,volume,market_cap,price_return,log_return
2022-07-26,191,0.15380942408376963,0.3608842252246312,0.4083769633507853,0.14136125654450263,0.041884816753926704,0.05759162303664921,0.900523560209424,0.8907395722978402,21306,39348901213.89908,406944600000.0,,
2022-07-27,1206,0.16409494195688226,0.3820896216034274,0.4386401326699834,0.1517412935323383,0.0505804311774461,0.04477611940298507,0.9046434494195689,0.8773126686439783,21258,30971960993.801308,406027800000.0,-0.0022528865108419,-0.0022554280776158
2022-07-28,1577,0.17288065948002534,0.3916843358941535,0.4445149017121116,0.13633481293595434,0.03868103994927077,0.053899809765377296,0.9074191502853519,0.8857941624100781,23832,41464947997.78456,455191200000.0,0.1210838272650296,0.1142959202995912
2022-07-29,1550,0.17201432258064517,0.37581946684605244,0.4174193548387097,0.13548387096774195,0.053548387096774196,0.03806451612903226,0.9083870967741936,0.8835006035527876,23648,37434200726.4841,451676800000.0,-0.007720711648204,-0.0077506706451898
2022-07-30,1249,0.18989079263410727,0.3810691581649973,0.4731785428342674,0.12810248198558846,0.04643714971977582,0.05204163330664532,0.9015212169735789,0.8838771801409099,23282,22354433697.19124,444686200000.0,-0.01547699594046,-0.0155980149397419
2022-07-31,1164,0.18847895189003436,0.4029979513808093,0.4639175257731959,0.14175257731958762,0.04381443298969072,0.0627147766323024,0.8934707903780069,0.8843612528543702,24404,44390558790.9189,466116400000.0,0.0481917361051456,0.0470665234635567
2022-08-01,1416,0.18037620056497175,0.3753945781709058,0.4385593220338983,0.1172316384180791,0.04096045197740113,0.046610169491525424,0.9124293785310734,0.8858315546044522,23241,39028492549.75882,443903100000.0,-0.0476561219472218,-0.0488290929717308
2022-08-02,1749,0.17667295597484275,0.35250544325350625,0.4145225843339051,0.09605488850771869,0.04059462550028588,0.049170954831332186,0.9102344196683819,0.8878586661004557,23082,39651607631.92384,440866200000.0,-0.0068413579450109,-0.006864867319662
2022-08-03,1586,0.17915617906683481,0.3578527150849303,0.4558638083228247,0.10844892812105927,0.0416141235813367,0.04287515762925599,0.9155107187894073,0.8894579472750763,22585,23202840816.88865,431373500000.0,-0.0215319296421453,-0.0217671238916455
2022-08-04,1743,0.16990154905335628,0.37067340855900893,0.39816408491107286,0.11703958691910499,0.04819277108433735,0.05048766494549627,0.9013195639701663,0.8891098317543256,23270,31259648447.38918,444457000000.0,0.0303298649546159,0.0298790082076329
2022-08-05,1454,0.15984154057771666,0.349117403813568,0.3892709766162311,0.11691884456671252,0.041953232462173314,0.05295735900962861,0.9050894085281981,0.8918931251788894,23654,29269950605.81453,451791400000.0,0.0165019338203695,0.0163672565147247
2022-08-06,1596,0.17757412280701754,0.3469582851722963,0.41290726817042606,0.08458646616541353,0.03571428571428571,0.047619047619047616,0.9166666666666666,0.8949088880740909,23777,43169124721.21504,454140700000.0,0.0051999661790818,0.0051864930413402
2022-08-07,1565,0.1806690734824281,0.33630127497048756,0.4115015974440895,0.08562300319488818,0.033226837060702875,0.03386581469648562,0.9329073482428115,0.8993619361814981,23957,36096628002.01662,457578700000.0,0.0075703410859233,0.0075418298565866
2022-08-08,1922,0.1639156087408949,0.33080701624158126,0.404786680541103,0.08949011446409989,0.03329864724245578,0.03225806451612903,0.9344432882414152,0.8964852146284885,23823,40569040331.77075,455019300000.0,-0.0055933547606127,-0.0056090561456684
2022-08-09,1764,0.17752074829931971,0.3417865943302564,0.4336734693877551,0.09693877551020408,0.035147392290249435,0.04478458049886622,0.9200680272108843,0.892926829303203,24204,31085354970.68328,462296400000.0,0.0159929479914369,0.0158664081788914
2022-08-10,1632,0.16082328431372547,0.3527185586319938,0.42769607843137253,0.10723039215686274,0.03982843137254902,0.044730392156862746,0.9154411764705882,0.8919370051327289,23935,25680968044.619423,457158500000.0,-0.0111138654767807,-0.0111760859156027
2022-08-11,1592,0.17659246231155779,0.3296065774646335,0.4371859296482412,0.07977386934673367,0.04459798994974874,0.04396984924623116,0.9114321608040201,0.8883688407552303,24444,33864619675.39587,466880400000.0,0.0212659285565071,0.0210429641881966
2022-08-12,1067,0.18029671977507028,0.3315941390001473,0.46579194001874413,0.09934395501405811,0.038425492033739454,0.03280224929709466,0.9287722586691659,0.8944955938534973,24652,21595431402.60438,470853200000.0,0.0085092456226476,0.0084732460673276
2022-08-13,1580,0.18647208860759493,0.3575317996363072,0.45759493670886076,0.0949367088607595,0.03417721518987342,0.035443037974683546,0.930379746835443,0.8938238056777399,24376,40690779299.81455,465581600000.0,-0.0111958461788089,-0.0112589914165887
2022-08-14,1617,0.18230105132962277,0.34453581131336564,0.46382189239332094,0.10698824984539271,0.03339517625231911,0.030921459492888066,0.9356833642547928,0.8988564934123057,24331,35791609978.05162,464722100000.0,-0.001846078109616,-0.0018477842118647
2022-08-15,1830,0.17740551912568306,0.3457918968211852,0.44754098360655736,0.10491803278688525,0.02896174863387978,0.04426229508196721,0.926775956284153,0.8933471185587795,24146,38952193502.134346,461188600000.0,-0.0076034688257777,-0.0076325225613474
2022-08-16,1565,0.1960329712460064,0.336576025772006,0.47987220447284346,0.08498402555910543,0.025559105431309903,0.038338658146964855,0.9361022364217252,0.8958874070415862,24395,28863149203.24671,465944500000.0,0.0103122670421602,0.0102594583576049
2022-08-17,1318,0.1571197268588771,0.3624188169320686,0.4271623672230653,0.13201820940819423,0.03717754172989378,0.042488619119878605,0.9203338391502276,0.8893325242223797,23936,44267450609.87258,457177600000.0,-0.0188153310104529,-0.0189945914757337
2022-08-18,1572,0.17133307888040714,0.3621236173189715,0.45610687022900764,0.11450381679389313,0.024173027989821884,0.04643765903307888,0.9293893129770993,0.8932242018689636,23263,42328028033.05495,444323300000.0,-0.0281166443850267,-0.0285194862341598
2022-08-19,1223,0.1319541291905151,0.3650857063654322,0.40065412919051513,0.15126737530662307,0.023712183156173343,0.07277187244480784,0.9035159443990188,0.8869862931240609,21440,39459587426.84405,409504000000.0,-0.078364785281348,-0.0816057793553056
2022-08-20,1042,0.1526481765834933,0.3472637363110499,0.40115163147792704,0.11228406909788867,0.022072936660268713,0.052783109404990404,0.9251439539347409,0.893135555646241,21589,24865967696.29919,412349900000.0,0.0069496268656716,0.0069255895117208
2022-08-21,1556,0.16628984575835476,0.3505955779886352,0.43251928020565555,0.10925449871465295,0.02377892030848329,0.042416452442159386,0.9338046272493573,0.8906022696959329,21538,31668025093.175854,411375800000.0,-0.0023623141414609,-0.0023651088076328
2022-08-22,1702,0.15209935370152763,0.3369920748158718,0.4106933019976498,0.10517038777908343,0.024676850763807285,0.05699177438307873,0.918331374853114,0.8903763719016881,21576,21095094144.68072,412101600000.0,0.0017643235212183,0.0017627689307397
2022-08-23,1025,0.16764009756097561,0.3331183866926665,0.4497560975609756,0.10048780487804879,0.027317073170731707,0.02926829268292683,0.9434146341463414,0.8955964566730872,21491,23857237301.688698,410478100000.0,-0.0039395624768261,-0.0039473429943598
2022-08-24,1113,0.14738670260557055,0.3611055452676134,0.4330637915543576,0.1302785265049416,0.02425876010781671,0.0440251572327044,0.9317160826594789,0.897058484421479,21637,37076223831.06136,413266700000.0,0.0067935414824811,0.0067705693622236
2022-08-25,1587,0.17162778827977315,0.34390077673645203,0.44612476370510395,0.11216131064902331,0.02835538752362949,0.043478260869565216,0.9281663516068053,0.8937199809450583,21626,38619053897.69543,413056600000.0,-0.0005083884087442,-0.0005085176819471
2022-08-26,1064,0.14988336466165414,0.3460704793055973,0.43045112781954886,0.13063909774436092,0.03289473684210526,0.04981203007518797,0.9172932330827067,0.8897336474654818,20049,44187743310.855255,382935900000.0,-0.0729214833996115,-0.0757170173263025
2022-08-27,1608,0.14743762437810945,0.33940785574469307,0.416044776119403,0.11194029850746269,0.028606965174129355,0.06778606965174129,0.9036069651741293,0.8893954096111789,19999,28145633953.4538,381980900000.0,-0.0024938899695745,-0.0024970048930934
2022-08-28,1645,0.15972863221884498,0.366123829850394,0.43829787234042555,0.1276595744680851,0.01762917933130699,0.057750759878419454,0.9246200607902736,0.8886519646572124,19969,29261492650.87172,381407900000.0,-0.0015000750037501,-0.0015012012426947
2022-08-29,791,0.12755082174462706,0.3652979887066465,0.3805309734513274,0.13527180783817952,0.02654867256637168,0.06573957016434892,0.9077117572692794,0.8843360763283354,20289,31738895281.8952,387519900000.0,0.0160248384996744,0.0158977961996579
2022-08-30,139,0.17033093525179854,0.33379969083462746,0.4172661870503597,0.11510791366906475,0.04316546762589928,0.02158273381294964,0.935251798561151,0.9000832397731946,20048,24736783977.107143,382916800000.0,-0.01187835773079,-0.0119494691072
